Customer Account # / Cliente,Average of Kg Surtigo
11679990,2.18
11680266,5.64
11680321,3.09
11680323,3.51
11680403,2.50
11680409,3.33
11680410,5.53
11680559,5.95
11680649,1.66
11680713,6.15
11680725,2.26
11680726,17.03
11680786,1.86
11680791,7.68
11680792,5.50
11680841,3.81
11680938,1.23
11680978,2.30
11681057,2.41
11681061,3.26
11681062,1.83
11681066,2.53
11681125,4.98
11681128,2.58
11681130,5.30
11681355,20.00
11681359,1.23
11681369,2.94
11681408,14.68
11681412,2.76
11681445,2.79
11681530,2.67
11681531,16.11
11681532,4.46
11681534,3.93
11681535,2.05
11681607,3.68
11681608,2.84
11681673,2.64
11681863,2.38
11681925,3.09
11681933,1.18
11681996,4.08
11682070,1.93
11682073,3.29
11682157,5.92
11682159,2.11
11682288,10.19
11682450,4.62
11682469,3.91
11682495,3.72
11682564,4.96
11682565,2.30
11682566,2.67
11682567,2.18
11682569,2.14
11682728,2.64
11682824,3.19
11682827,2.69
11682870,1.60
11683011,6.87
11683016,3.76
11683017,2.09
11683097,0.00
11683098,6.96
11683103,2.27
11683171,37.45
11683172,5.20
11683206,2.67
11683208,6.73
11683341,5.81
11683342,1.04
11683386,8.49
11683387,1.90
11683507,3.17
11683510,6.00
11683581,5.14
11683582,8.53
11683583,7.60
11683706,2.58
11683707,7.87
11683782,2.56
11683815,14.49
11683818,2.20
11683819,17.81
11683878,3.86
11683881,4.01
11683883,6.57
11683884,4.04
11684152,3.78
11684270,1.64
11684272,11.85
11684273,8.39
11684313,5.23
11684314,2.18
11684315,9.72
11684337,4.10
11684424,10.92
11684609,6.67
11684735,2.41
11684809,3.77
11684810,3.31
11684877,6.24
11684949,3.30
11684950,3.01
11684953,2.90
11684956,5.94
11685053,2.08
11685054,4.87
11685150,2.30
11685294,32.36
11685295,1.68
11685357,15.00
11685521,3.27
11685523,2.78
11685524,4.01
11685527,12.65
11685538,12.32
11685610,6.24
11685613,1.66
11685682,1.55
11685687,2.43
11685689,1.95
11685762,6.92
11685763,2.74
11685764,3.20
11685958,12.97
11686023,1.52
11686024,2.22
11686032,2.49
11686072,2.60
11686075,3.69
11686174,10.21
11686301,2.19
11686302,3.83
11686303,6.24
11686408,2.69
11686502,24.26
11686524,13.03
11686611,1.68
11686917,2.43
11686928,49.11
11687106,3.30
11687107,35.63
11687111,12.23
11687316,3.26
11687441,20.94
11687559,2.57
11687561,4.59
11687692,3.88
11687700,4.02
11687823,6.71
11687832,3.74
11687973,10.22
11687975,2.26
11687979,4.09
11688143,3.56
11688158,4.39
11688159,4.78
11688189,6.05
11688191,3.92
11688194,3.39
11688195,10.60
11688251,2.27
11688252,8.80
11688350,1.78
11688352,8.01
11688353,4.83
11688424,2.13
11688427,2.84
11688434,1.78
11688436,4.93
11688518,7.67
11688675,123.14
11688768,2.64
11688787,2.32
11688789,3.18
11688846,2.79
11688915,4.38
11688917,2.72
11689073,10.60
11689074,8.11
11689075,10.59
11689078,1.93
11689198,2.84
11689199,2.03
11689200,3.43
11689271,10.96
11689277,2.62
11689279,2.68
11689280,3.39
11689281,1.14
11689328,4.79
11689393,2.33
11689485,13.27
11689489,18.17
11689491,2.11
11689601,5.94
11689608,12.17
11689716,1.77
11689717,3.50
11689930,6.21
11690004,2.29
11690014,1.67
11690062,2.24
11690066,2.58
11690068,7.12
11690132,5.66
11690134,2.85
11690206,4.28
11690225,4.65
11690351,2.34
11690352,5.85
11690382,2.56
11690484,22.32
11690563,4.07
11690565,6.25
11690567,4.69
11690638,5.12
11690748,2.73
11690750,3.75
11690833,1.45
11690834,1.94
11690838,0.60
11690839,1.64
11690925,2.06
11690989,3.52
11690995,2.62
11690996,4.76
11690998,5.62
11691064,13.57
11691172,2.19
11691217,2.21
11691219,2.41
11691428,11.42
11691521,5.03
11691605,3.74
11691607,3.01
